name;vapp;UCaaS Cisco (1000 users) HCS 8.6.1-V1;UCaaS Cisco (1000 users) HCS 8.6.2-V1;UCaaS Cisco (1000 devices) HCS 8.6.2-V3;UCaaS Cisco (1000 devices) HCS 8.6.2-V3-mig;UCaaS Cisco (7500 devices) HCS 8.6.2-V3;UCaaS Cisco (7500 devices) HCS 8.6.2-V3-mig;UCaaS Cisco (20000 devices) HCS 8.6.2-V3;UCaaS Cisco (40000 devices) HCS 8.6.2-V3;UCaaS Cisco (2500 users) HCS 8.6.2-V1;UCaaS Cisco (1000 devices) HCS 8.6.2-V2-MW2;UCaaS Cisco (1000 devices) HCS 8.6.2-V4-MW2;UCaaS Cisco (7500 devices) HCS 8.6.2-V2-MW2;UCaaS Cisco (7500 devices) HCS 8.6.2-V4-MW2;UCaaS Cisco (20000 devices) HCS 8.6.2-V2-MW2;UCaaS Cisco (20000 devices) HCS 8.6.2-V4-MW2
WIN_VAADTB;20000;X;;;;;;;;;;;;;;
WIN_VAADTB;30000;;X;;;;;;;X;;;;;;
WIN_VAADTB;40000;;;X;X;X;X;X;X;;;;;;;
WIN_VAADTB;60000;;;;;;;;;;X;;X;;X;
WIN_VAADTB;70000;;;;;;;;;;;X;;X;;X
WIN_VACUEAC25;21000;X;;;;;;;;;;;;;;
WIN_VACUEAC25;31000;;X;;X;;X;;;X;;;;;;
WIN_VACUEAC25;41000;;;X;;X;;X;X;;;;;;;
WIN_VACUEAC25;61000;;;;;;;;;;X;;X;;X;
WIN_VACUEAC25;71000;;;;;;;;;;;X;;X;;X
UCS_VAUCCX;22000;X;;;;;;;;;;;;;;
UCS_VAUCCX;32000;;X;;X;;X;;;X;;;;;;
UCS_VAUCCX;42000;;;X;;X;;X;X;;;;;;;
UCS_VAUCCX;62000;;;;;;;;;;X;;X;;X;
UCS_VAUCCX;72000;;;;;;;;;;;X;;X;;X
UCS_VAUC1000;23000;X;;;;;;;;;;;;;;
UCS_VAUC1000;33000;;X;;X;;;;;;;;;;;
UCS_VAUC1000;43000;;;X;;;;;;;;;;;;
UCS_VAUC7500;44000;;;;;X;;;;;;;;;;
UCS_VAUC20000;45000;;;;;;;X;;;;;;;;
UCS_VAUC40000;46000;;;;;;;;X;;;;;;;
UCS_VAUC2500;34000;;;;;;X;;;X;;;;;;
UCS_VAUC1000;63000;;;;;;;;;;X;;;;;
UCS_VAUC1000;73000;;;;;;;;;;;X;;;;
UCS_VAUC7500;64000;;;;;;;;;;;;X;;;
UCS_VAUC7500;74000;;;;;;;;;;;;;X;;
UCS_VAUC20000;65000;;;;;;;;;;;;;;X;
UCS_VAUC20000;75000;;;;;;;;;;;;;;;X
